Issue Type	Issue key	Issue id	Summary	Assignee	Assignee Id	Priority	Status	Custom field (Dev Team)	Labels	Labels	Custom field (Stage)	Custom field (Stage)	Custom field (Stage)	Custom field (Stage)	Custom field (Stage)	Created	Custom field (Flagged)	Reporter	Reporter Id	Custom field (Severity)	Custom field (Severity)	Custom field (Severity)	Custom field (Severity)	Custom field (Severity)	Custom field (Severity)	Custom field (Severity)	Resolved	Custom field (Support Severity)	Custom field (Support Severity)	Custom field (Support Severity)	Custom field (Support Severity)	Custom field (Root cause)	Custom field (Root cause)	Custom field (Root cause)	Custom field (Root cause)	Custom field (Solution)	Custom field (Solution)	Custom field (Solution)	Custom field (Solution)	Updated	Custom field (Request Type)	Custom field (User job to be done)	Custom field (Cluster)	Custom field (Cluster)	Custom field (Urgency)	Custom field (Urgency)	Custom field (Urgency)	Custom field (Customer)	Custom field (Reason)	Custom field (Reason)	Custom field (Analysis1)	Custom field (Analysis2)	Custom field (Analysis3)	Custom field (Exclude from Analysis)	Custom field (Runbook)	Custom field (Chance of reoccurrence)	Custom field (Chance of Reoccurrence)
Support Request	THQ-3796	254245	{ShipmentBookingFails}[zimmermann] Booking delivery failed due to description for product	Leon van der Veen	712020:864aa274-4a46-4544-a4e3-2bc6081b54a5	Medium	On Hold									05/Nov/25 7:18 PM		Andrew Bright	627e4e316ba8640069cffb0d																					07/Nov/25 4:12 PM				Fulfill Orders		Medium		Zimmermann	Missing_Data		ShipmentBookingFailed	N/A	N/A	No	No		
Support Request	THQ-3792	254176	[agilycomtppe-sandbox] Urgent: Third-Party Promotion Configuration Missing in Environment	Ra-el Peters	712020:11204680-50be-4775-b04b-e5cee39caab6	Critical	On Hold									05/Nov/25 4:26 PM		Mallory Olivieri	5cecf2714283500fc709051e																					07/Nov/25 11:56 AM				Promotions		High			Configuration		PromotionsTurnOnFeature	N/A	N/A	No	No		
Support Request	THQ-3787	254004	[casablancaparis] - Inventory in Stock Levels not updating	Leon van der Veen	712020:864aa274-4a46-4544-a4e3-2bc6081b54a5	Medium	Done									04/Nov/25 10:52 AM		PagerDuty	557058:3a56cb63-a64c-4692-b28a-630198427625								05/Nov/25 1:36 PM							FF node wasn't configured correctly as inventory master.						05/Nov/25 4:29 PM				Receive/Transfer/Adjust Inventory		High		Casablancaparis	Missing_Data		TransactionDoesNotUpdateSOH	NotInventoryMaster					Zero
Support Request	THQ-3786	253988	[Untuckit] Order missing in netsuite 			Medium	Done									04/Nov/25 12:34 AM	Impediment	Ankita Dubey	631627f58d88ec800fbf5779								05/Nov/25 12:27 PM							Another team's context						06/Nov/25 11:01 PM				Order Data		High		Untuckit					AnotherTeam	Yes			Zero
Support Request	THQ-3785	253983	[reebok-sandbox] product only showing at deepest category level			Medium	Triage									03/Nov/25 9:32 PM		Andrew Bright	627e4e316ba8640069cffb0d																					07/Nov/25 4:43 AM				Catalog		Medium		Reebok			CatalogWrongPathShowingOnAA						
Support Request	THQ-3789	253851	{EventsMissing}[ganni] Cash & Carry Orders Showing as Pending in Shipping Detail Field of Get Order API	Mark Narvidas	712020:f4a3833e-694b-4f6e-8ce6-ff3e938b0e80	Medium	Done									31/Oct/25 1:09 PM		Oyinloluwa Olatunji	627e4e3466eb58006980c1d3								06/Nov/25 5:04 PM							"Replayed fulfillment_request.items_shipped events based on payloads extracted from CCO database.

See this runbook:
Order stuck in Pending status
 




GAN102643353 - 2a1122a9-da4d-4bcb-a55d-b4a4f400e336
GAN102626919 - 2646a20e-f963-4621-8bdd-8e76e459ba66
GAN102626962 - e1304ad3-8560-404f-b9b5-45e435ee72f7
GAN102629683 - 00de0e2f-4465-4ac3-a401-d16b7769d824
GAN102638181 - 9291de1a-eeb0-46c4-ae68-e692152fd774
GAN102629719 - 4164d4b1-5ad9-4c3e-b6e0-fc345f5b8b9f
GAN102639180 - 56102c0e-b9e1-4f6a-b0b7-21317499db22
GAN102641578 - 9fa97831-1303-426c-808d-51474656d928
GAN102641443 - 9e50f82a-e6e7-490c-87bd-15c1a9f6a093
GAN102628717 - 54fdb470-ec89-4ec7-ab24-7b208c81c907
GAN102647818 - 47c389cb-c98b-48ca-883f-99c9452e17e8
GAN102646725 - 38b9a7d9-7ef2-4e23-8421-f08049618113
GAN102629671 - 8ccfd4cb-6697-4044-8645-3b00af969c22


External Order API now returns SHIPPED status correctly for all of them."						07/Nov/25 1:16 PM				Order Data		High		Ganni	Missing_Data	TIDE	EventsMissing	Order					Low
Support Request	THQ-3779	253850	03 Nov DOPAMINE ( I think :) ) Enable 3rd party promotion engine feature on lego-staging tenant on Monday Nov 3rd in the morning	Mark Narvidas	712020:f4a3833e-694b-4f6e-8ce6-ff3e938b0e80	Medium	Done									31/Oct/25 1:04 PM		Dimitri Gatowski	557058:cc31c31b-4557-4c1b-9fc1-2c8de2dfe945								03/Nov/25 3:30 PM							"BAU operation, config change in code. Followed this runbook:
https://goodscloud.atlassian.net/wiki/spaces/PPP/pages/4328161304/Enable+a+tenant+to+use+a+Third+Party+Promotions+Engine+TPPE"						05/Nov/25 4:30 PM				Promotions		High		LEGO	Configuration		PromotionsTurnOnFeature						High
Support Request	THQ-3778	253849	DOPAMINE | [aninebing-staging] - Enable Routing UI in NOM	Florent Peterschmitt	61dbef5aa54af90069bb001b	Medium	Done									31/Oct/25 12:43 PM		Simon Theisse	712020:50762d09-52c0-4d65-be9d-93f32a7c681e								05/Nov/25 11:32 AM							config…						05/Nov/25 4:30 PM				Routing		High		Anine Bing	Configuration		RoutingTurnOnFeature						Zero
Support Request	THQ-3776	253830	{Order injection fails} Orders failed to import on 10/28 with /v0/d/fulfill_order API (APP Group)			Medium	To Do									31/Oct/25 12:25 AM		Austin Grady	621c7d1b8a4bb60068f08be9																					06/Nov/25 11:36 AM				Order Injection		High		App Group			OrderInjectionFails						
Support Request	THQ-3775	253827	{ShippingOptionsFail}[deseret] Internal server error when generating delivery options			Medium	To Do									30/Oct/25 9:09 PM		Andrew Bright	627e4e316ba8640069cffb0d																					06/Nov/25 12:33 PM				Fulfill Orders		High		Deseret Books			ShippingOptionsFail						
Support Request	THQ-3772	253813	[Jewells] ProviderRatesPriorityConfigException reached because shipping offer was changed to a non existent service level in the config			Medium	Triage									30/Oct/25 4:53 PM		Jorge Yip	60d5c928b1f93b0069c6fe6e																					05/Nov/25 10:29 AM				Fulfill Orders		Medium		Jewells			OnHoldReasonNotAccurate						
Support Request	THQ-3770	253796	EasyPost Adapter – “Invalid NewStore Credentials” Error When Updating Staging Configuration			Critical	Triage									30/Oct/25 3:06 PM		Mallory Olivieri	5cecf2714283500fc709051e																					05/Nov/25 12:44 PM				Fulfill Orders		Medium		RM Williams			EasypostCannotUpdateConfig						
Support Request	THQ-3771	253795	{CannotAddLocaleToTemplate}[Jules] sales and return templates missing in NOM (en_US locale)			Medium	Triage									30/Oct/25 3:03 PM		Oyinloluwa Olatunji	627e4e3466eb58006980c1d3																					06/Nov/25 11:37 AM				Catalog		High		Jules			CannotAddLocaleToTemplate		Request				
Support Request	THQ-3764	253748	**Size Update/Sort**[Leays-staging] Implementing sorting size in Staging for Retailer.	Mark Narvidas	712020:f4a3833e-694b-4f6e-8ce6-ff3e938b0e80	Medium	On Hold									30/Oct/25 12:12 AM		Em Q.	712020:22580d0e-83f8-4e3d-b6be-f99419133326																					07/Nov/25 10:11 AM				Catalog		High		Leays	Configuration		CatalogUpdateSize&Sorting						
Support Request	THQ-3759	253661	[footasylum] Extract all runner requests with the latest data	Mark Narvidas	712020:f4a3833e-694b-4f6e-8ce6-ff3e938b0e80	Medium	Done									28/Oct/25 7:04 PM		Jorge Yip	60d5c928b1f93b0069c6fe6e								07/Nov/25 12:24 PM							"No other way to do a runner export other than direct SQL query export. There is a runbook to do this:
https://goodscloud.atlassian.net/wiki/spaces/HQ/pages/5506596865/Extract+All+Runner+Requests"						07/Nov/25 12:24 PM				Runner		High		Footasylum	Export		RunnerCannotExportData		Request		Yes		Low
Support Request	THQ-3760	253657	Schema of template shipment_dispatched_email and shipment_cancel_email does not have fields to display Item details			Medium	Triage									28/Oct/25 6:30 PM		Sanjana Mallikarjun dhabadi	61d2d6a549f1950069266a28																					05/Nov/25 5:31 PM				Templates		Medium		Reebok					FeatureRequest	Yes			
Support Request	THQ-3758	253656	DOPAMINE | [untuckit] enable Routing UI in NOM	Mark Narvidas	712020:f4a3833e-694b-4f6e-8ce6-ff3e938b0e80	Medium	Done									28/Oct/25 6:10 PM		Brandon Wargo	5c07e33c9d4db33a1f658dc9								30/Oct/25 5:52 PM							[https://goodscloud.atlassian.net/wiki/spaces/HQ/pages/4705648641/Activating+Routing+UI+for+a+customer|https://goodscloud.atlassian.net/wiki/spaces/HQ/pages/4705648641/Activating+Routing+UI+for+a+customer|smart-link]						04/Nov/25 4:23 PM				Routing		High		Untuckit	Configuration		RoutingTurnOnFeature						Zero
Support Request	THQ-3754	253602	Replay events for Birkenstock	Tuomas Nylund	712020:7285fb2b-dc93-4ac6-b5ab-4bd8075176c2	Medium	Done									28/Oct/25 10:40 AM		Bernardo Torres	557058:a2e544ed-2042-4d1e-bef7-3d0d23aac726								30/Oct/25 7:08 PM							There was a bug in the integrations of birkenstock and they requested a replay of events so that they can get all their data.						04/Nov/25 3:56 PM				EventStream		High		Birkenstock	Data_Synchronisation		EventsMissing	HistoricalOrder					High
Support Request	THQ-3750	253587	{Order Stuck} | [Untuckit] Order stuck in routing			Medium	To Do									28/Oct/25 2:25 AM		Em Q.	712020:22580d0e-83f8-4e3d-b6be-f99419133326																					06/Nov/25 5:48 PM				Routing		High		Untuckit			OrderStuck	Routing					
Support Request	THQ-3749	253540	P2 **Weird workflow** [Roots] Cancelled order items got shipped	Mark Narvidas	712020:f4a3833e-694b-4f6e-8ce6-ff3e938b0e80	Medium	Done									25/Oct/25 10:25 PM		PagerDuty	557058:3a56cb63-a64c-4692-b28a-630198427625								04/Nov/25 3:50 PM							"Some of the order items from orders placed during the AWS Outage window on 20 November ended-up being cancelled on NewStore side (and thus refunded to the customer), while simultaneously already being fulfilled from DCs. This resulted in those affected (and refunded!) items being ultimately delivered to the customers.

We found out that this cancellation was caused by an automatic cancellation logic inside `logistic_order` service. 

As a result, we improved some of our internal state handling (especially how we handle `logistic_order.dispatched`). This fix better handles cancelling of such order items, and thus ultimately also prevents triggering the unwanted refund. 

@Flo nicely covers the technicalities here:
[https://gitlab.com/newstore/engineering/routing/services/logistic_order/-/commit/e7bd3259b2091becb781d3b8fb5fb9f81cc73d46|https://gitlab.com/newstore/engineering/routing/services/logistic_order/-/commit/e7bd3259b2091becb781d3b8fb5fb9f81cc73d46]

And here’s the fix MR:
[https://gitlab.com/newstore/engineering/routing/services/logistic_order/-/commit/96f287cd480bbbbd549bd4dc06c4ee3bd43239fd|https://gitlab.com/newstore/engineering/routing/services/logistic_order/-/commit/96f287cd480bbbbd549bd4dc06c4ee3bd43239fd|smart-link]"						05/Nov/25 10:35 AM				Order Data		High		Roots	Order_Discrepancy		OrderUnexpectedWorkflow						Low
Support Request	THQ-3748	253532	Fulfillment Node Setup Assistance			Medium	Done									25/Oct/25 6:12 AM		Richard Williams	61026b6da539cb006846112e								28/Oct/25 4:03 PM							The FFnode = storeID did not fit their plans.						05/Nov/25 1:56 PM				Store		High		Universal			CannotUpdateLocationID						Zero
